"Team","season","TOI_all","Skater_TOI_EV","Skater_TOI_PP","Skater_TOI_SH","EV_GAR","PP_GAR","SH_GAR","Pens_GAR","Skater_GAR","Goalie_GAR","GAR","GPW","WAR"
"COL","20142015",29424.8,20123,1992.3,1591.9,41.2,3.9,-3.2,12,53.9,45.5,99.6,5.09,19.5
"PHI","20172018",29375.1,20471.5,2125.7,1358.7,57.3,12.7,6,19.4,95.4,12.8,108.3,5.61,19.3
"VAN","20132014",29384.5,20114.6,2139.5,1793.4,50.5,3.8,10.7,7.2,72.2,26.6,98,5.11,19.3
"VAN","20142015",29230.1,19956.1,1959.2,1766,44,12.6,5.2,5.7,67.5,29.3,97.1,5.09,19.2
"ANA","20072008",28843,17933.9,2720.5,2407.8,33.3,15.3,1.7,4.6,54.9,44.4,98.9,5.2,19.1
"CAR","20102011",29072.5,19331.3,2772.5,1667.5,24,11,-11.2,24.5,48.3,49.4,97.9,5.23,19.1
"OTT","20082009",29061.7,18922.3,2653.5,2227.7,43.1,19.8,16.2,11.1,90.2,14.1,103.8,5.45,19.1
"BUF","20112012",29448.3,20406.1,2100.1,1658.6,47.5,9.2,-1.6,11.8,66.9,30.8,97.3,5.09,19
"CBJ","20172018",29407.3,20759.1,1914.1,1376.5,53.9,3,-5.8,17.3,68.4,38.8,107.3,5.61,19
"CHI","20122013",17312.5,11892.9,1283.9,938.3,56.2,3.9,4.7,11.5,76.3,20.8,96.7,5.08,18.9
"MTL","20152016",29221.1,19828,2106.1,1578.3,70.6,9.1,-4.2,9.9,85.4,12,97.3,5.1,18.9
"ARI","20132014",29426,20018.4,2223.5,1691.4,34.8,22.6,-0.6,10.9,67.7,26.9,95.2,5.11,18.8
"DET","20132014",29436.6,19869.7,2293.5,1891.3,56.3,11.6,6.6,9.4,83.9,12.4,96.3,5.11,18.8
"MIN","20102011",29231,19706.2,2287.6,1953.3,52.1,14.4,5.6,4.9,77,20.6,98,5.23,18.8
"MTL","20112012",29326.7,19528,2482.8,2034.6,46.4,4.3,13.4,10,74.1,23,96.7,5.09,18.8
"PIT","20122013",17022,11597.3,1326.9,1046.2,50.6,18.5,-2.8,10.7,77,16.7,93.7,5.08,18.8
"DAL","20092010",29043.8,19412.2,2586.9,1749.9,55.5,19.2,-4,17.1,87.8,10.6,97.9,5.29,18.7
"DAL","20132014",29332.4,19937.8,2462.2,1613.8,46.2,6.2,-4.9,14.6,62.1,34,96,5.11,18.7
"N.J","20112012",29408.8,20258.1,2153.6,1727.3,54.8,10.1,12.5,14.1,91.5,4,95.7,5.09,18.7
"STL","20082009",28968.3,18730.5,2740,2285.9,47.7,18.1,9.7,11.9,87.4,11.9,99.6,5.45,18.6
"ANA","20172018",29290.8,20178.6,1781.9,1844.3,37.2,6.3,-8.4,3,38.1,64.9,103,5.61,18.5
"OTT","20162017",29226.8,20220,2042,1605.8,41.1,8.1,1.8,15.4,66.4,28.9,95.1,5.21,18.5
"FLA","20142015",29460.7,20375.7,2026.2,1588.4,64,9.1,0.3,9,82.4,11.2,93.6,5.09,18.4
"NSH","20072008",28978.7,18402.7,2934.9,2107.5,56.3,5.7,8.5,10.1,80.6,14.3,94.6,5.2,18.4
"CBJ","20072008",28511,18113.6,2832.4,2250.6,63.2,7.2,8.2,8,86.6,8.5,95.5,5.2,18.3
"CGY","20112012",29358.3,20307.4,2125.6,1659.3,45.7,11.2,-3.5,4.2,57.6,33.3,91.3,5.09,18.3
"CBJ","20082009",29059.4,19149.5,2578.1,2168.2,76.9,-8.3,9,9.3,86.9,11,98.4,5.45,18.2
"WSH","20172018",29203.6,19968.1,1925.5,1721.5,38.9,14.9,-1.5,7.7,60,40.1,100.4,5.61,18.1
"L.A","20162017",29251.7,20255.1,2025.1,1675.2,37.2,13,9.9,7.8,67.9,26,94,5.21,18
"ARI","20072008",29204.6,19116.1,2656.4,2055.7,22.3,20.8,-0.3,16.9,59.7,32.3,91.9,5.2,17.9
"FLA","20172018",29243.7,20235,2097.1,1489.6,53.5,4.4,-2.3,13.2,68.8,30,99.5,5.61,17.9
"COL","20112012",29372.7,20273.3,1754.3,1867.5,47.7,14,1.9,2.3,65.9,25.1,90.7,5.09,17.8
"PIT","20092010",28760.7,18928.5,2575.2,2125,56.3,11.3,10.6,9.9,88.1,6.3,94.9,5.29,17.8
"NSH","20082009",29141.8,19084.1,2588.7,2144.9,44.3,4.1,9.5,5.5,63.4,31.9,95.7,5.45,17.7
"L.A","20082009",28986,18621.4,2825.9,2390.5,40,16.7,7.9,13.8,78.4,17.9,96.4,5.45,17.6
"N.J","20132014",29446.9,20173.1,2024.6,1820.5,50.6,14.6,11,8.5,84.7,6.5,91.2,5.11,17.6
"TOR","20132014",29393,20194.4,2110.1,1733.6,27.9,19.4,-6.4,10.7,51.6,38.3,89.7,5.11,17.4
"TOR","20102011",29346.4,19557.1,2685.8,1780.7,52.3,8.4,5.8,17.1,83.6,6,89.6,5.23,17.3
"ANA","20142015",29290.3,20066,1933.7,1661.3,69.4,6.4,-0.7,3.2,78.3,10.8,89.6,5.09,17.2
"BUF","20152016",29319.6,20268.7,2146.9,1425.6,30.6,13.4,-2.2,20.9,62.7,23.9,86.4,5.1,17.1
"EDM","20072008",29100.8,18821.4,2749.4,2343.8,44.6,13.2,1.7,5.6,65.1,23.5,89.2,5.2,17.1
"S.J","20122013",17311.5,11967.8,1325,924.1,33.7,13.1,-1.8,11.4,56.4,28.8,85.1,5.08,17
"WPG","20162017",29144,19785.4,2138.6,1691.7,76.1,6.2,-1.5,8.4,89.2,0.4,90,5.21,17
"ANA","20102011",29282.8,19814.7,2206.8,1954.8,13.8,31.3,-4.2,9,49.9,37.2,87.4,5.23,16.9
"CHI","20112012",29545.7,20283.8,2341.7,1525.4,69.9,6.5,-4.7,20.5,92.2,-5.5,86.5,5.09,16.9
"CGY","20072008",28652.1,18223.6,2723.4,2362.8,55.8,15.6,3.9,6.1,81.4,6.3,87.3,5.2,16.8
"MIN","20112012",29073.9,19841.4,2061.8,1830.2,34,7.2,3.5,6,50.7,34.7,84.8,5.09,16.8
"OTT","20092010",29186,19575.4,2349.5,2054.2,61.4,9.8,4.2,8.1,83.5,6,89.6,5.29,16.7
