"Team","season","TOI_all","Skater_TOI_EV","Skater_TOI_PP","Skater_TOI_SH","EV_GAR","PP_GAR","SH_GAR","Pens_GAR","Skater_GAR","Goalie_GAR","GAR","GPW","WAR"
"DAL","20162017",29204,20230.7,2041.6,1542.9,21.1,11.9,-5.1,11.8,39.7,14.3,53.4,5.21,10.4
"TOR","20092010",29356.4,19528.9,2612.2,1794.3,48.5,-2.1,-9,18.1,55.5,-3.5,52.4,5.29,10.3
"ARI","20082009",28733,19151.4,2685,1703.3,24.6,3.7,-3.6,23.4,48.1,7,55,5.45,10.2
"DAL","20122013",17057.6,11435.4,1417.9,1135.8,27.5,5.4,-7.8,5.1,30.2,20.3,50.7,5.08,10
"TOR","20152016",29261.2,19829.6,2174.6,1828.9,22.1,5,4.8,9.3,41.2,5.7,46.5,5.1,9.7
"NYI","20122013",17234.8,12056.3,1202.9,880.8,18.2,9.9,2.3,9.1,39.5,8.8,47.7,5.08,9.6
"T.B","20082009",29126.1,18485.8,2736.7,2464.2,36.1,14.7,2.6,-3.8,49.6,1.2,51.1,5.45,9.6
"T.B","20112012",29293.7,20056.6,2114.4,1760.3,60.9,7,-0.9,6.8,73.8,-26.8,47.6,5.09,9.5
"EDM","20122013",17151.2,11532.7,1328.5,1151.8,4.8,12.9,-3.5,3.3,17.5,29.3,46.7,5.08,9.4
"NYR","20172018",29263.2,20339.3,1952.3,1622.9,-1.6,15.6,-1.9,9.8,21.9,31,53.1,5.61,9.2
"EDM","20152016",29175.3,19935.3,2029.3,1728.8,18.2,10.4,-2.2,8.7,35.1,14.3,48.6,5.1,9.1
"CBJ","20102011",29344.9,19639.5,2439.7,1989,44.2,-4,5.8,7.9,53.9,-8.6,45.8,5.23,8.8
"EDM","20092010",29163.9,19639.3,2410.8,1916.1,27,9.6,-3.3,9.5,42.8,3,44.9,5.29,8.7
"EDM","20172018",29268.5,20631.1,1792.6,1598.5,29.1,-1.8,-3.3,5.7,29.7,19.3,48.9,5.61,8.5
"NYI","20082009",29038.9,18799.9,2525.3,2232,26.3,5.2,-11,1.8,22.3,24.7,46.7,5.45,8.5
"DET","20162017",29426.7,20420.1,2087.1,1530.2,22.3,0.7,-6.6,16.3,32.7,11.1,43.7,5.21,8.4
"DET","20172018",29284.3,20354.7,1891.2,1647.8,27.6,2.3,-5.5,8.1,32.5,15.1,47.1,5.61,8.3
"N.J","20162017",29250.1,20120.1,2104,1694.6,9.6,10.8,0.6,4.3,25.3,16.2,41.3,5.21,7.9
"NYI","20132014",29442,20106.6,2232.4,1698.6,5.8,14.2,-4.9,15.1,30.2,9.4,38.8,5.11,7.8
"BUF","20122013",17240,11639.7,1351.8,1103.6,16.4,2.2,-6.5,2.6,14.7,21.4,36.1,5.08,7.4
"TOR","20082009",28924.2,19147.7,2564.5,1875.4,35.8,18.4,-12.8,15.6,57,-15.9,40.4,5.45,7.4
"OTT","20172018",29325.7,20311.9,2098.5,1518.6,29.4,0.2,1.7,15.5,46.8,-5.8,41.1,5.61,7.1
"WPG","20122013",17196.1,12046.6,1207.7,866.2,24.5,-1.9,0.8,7.5,30.9,4,35,5.08,7
"VAN","20152016",29358.3,20196.3,2093.4,1624.4,-8.3,1.9,2.1,9.9,5.6,28.5,33.9,5.1,6.9
"COL","20102011",29258.5,19742.6,2178.3,1963,46.4,13.4,-8.6,2.7,53.9,-17.6,36.1,5.23,6.7
"EDM","20132014",29197.3,19801.2,2242.9,1820.7,9.1,10.4,-4.7,8.3,23.1,9.7,33.1,5.11,6.6
"CGY","20122013",17055.6,11729.9,1240.3,957.5,25,7.3,1.3,9.2,42.8,-10.4,32.3,5.08,6.5
"N.J","20122013",17198,11614.1,1395.8,1042.5,18.3,4.9,6.2,8.1,37.5,-4.8,32.5,5.08,6.3
"ARI","20162017",29248.2,20372.7,1946.7,1658.8,-5.8,3,-4.2,6.6,-0.4,32.2,31.5,5.21,6.1
"MTL","20172018",29245.8,20209.5,1996.8,1683.5,5.8,12.9,-6.1,6.8,19.4,15.1,34.3,5.61,6.1
"CAR","20122013",17030.6,11603.2,1324.4,975.8,3.4,3.5,-3.8,5.7,8.8,14.3,23.6,5.08,4.7
"COL","20122013",17158.5,11751.3,1138.2,1183.5,17.3,3.5,-8.6,-0.1,12.1,7.9,20.2,5.08,3.9
"EDM","20102011",29207.1,19411.6,2413,2037.2,-2,1.3,-7.1,9.7,1.9,17.5,18.7,5.23,3.6
"VAN","20162017",29333.8,20495.7,1990,1462.7,-9.6,-0.7,-3.7,13,-1,20.1,19,5.21,3.6
"BUF","20132014",29330.6,19932.2,2157.7,1880.6,-13.4,-2,-10.7,7.2,-18.9,34.1,14.2,5.11,3.1
"FLA","20132014",29304.9,19883.2,2362.6,1655.5,28.4,-11.9,-6.9,10.1,19.7,-6,13.5,5.11,2.7
"BUF","20172018",29264.5,19975.2,2173.1,1525,-8.3,5,1.8,10.5,9,3.1,12.8,5.61,2.3
"BUF","20142015",29360,20387.2,1887.7,1671.1,-5.7,0.7,-4.7,6.1,-3.6,12.2,8.9,5.09,1.7
"ARI","20142015",29331.7,20262.5,1888.5,1812.3,-10.1,15.8,-9.8,1.3,-2.8,8.9,5.8,5.09,1
"FLA","20122013",17152.9,11933.4,1177.4,1005,-3.5,10.2,-2.7,4.6,8.6,-14.1,-5.3,5.08,-1.3
"EDM","20142015",29480.4,20824.1,1915.7,1462.7,-10.4,8.4,4.1,13.2,15.3,-21.1,-5.5,5.09,-1.4
"COL","20162017",29040.8,19641.5,1993.6,1704.7,10.3,-4.8,-4.1,3.2,4.6,-31.6,-26.7,5.21,-5.1
