Season,,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SOW,SOL,SRS,SOS,TG/G,EVGF,EVGA,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,PDO
2009-2010,Vancouver Canucks,28.1,82,49,28,5,103,0.628,272,222,4,4,0.6,-0.01,6.02,191,155,68,323,21.05,59,320,81.56,8,6,15.4,15,2534,10.6,2419,0.91,101.5
2009-2010,Detroit Red Wings,30.3,82,44,24,14,102,0.622,229,216,6,9,0.23,0.07,5.43,156,163,59,307,19.22,43,267,83.9,8,1,8.6,9.7,2737,8.1,2413,0.914,98.9
2009-2010,Los Angeles Kings,26.2,82,46,27,9,101,0.616,241,219,10,8,0.32,0.05,5.61,163,145,64,307,20.85,60,304,80.26,4,6,11.7,12.4,2389,9.7,2260,0.907,99.9
2009-2010,Pittsburgh Penguins,27.8,82,47,28,7,101,0.616,257,237,8,2,0.17,-0.07,6.02,186,175,56,326,17.18,52,327,84.1,7,8,14.4,14.4,2688,9.3,2350,0.9,99.6
2009-2010,Nashville Predators,27.6,82,47,29,6,100,0.61,225,225,8,4,0.06,0.06,5.49,165,156,47,286,16.43,59,258,77.13,5,5,8.5,9.8,2508,8.7,2396,0.908,100
2009-2010,Buffalo Sabres,27.8,82,45,27,10,100,0.61,235,207,4,6,0.26,-0.08,5.39,172,160,55,313,17.57,38,284,86.62,4,3,11,11.4,2588,8.9,2573,0.922,100.2
2009-2010,Colorado Avalanche,26.4,82,43,30,9,95,0.579,244,233,7,5,0.16,0.02,5.82,173,159,56,310,18.06,60,303,80.2,8,9,12.2,13.3,2287,10.4,2629,0.913,101.3
2009-2010,Ottawa Senators,27.9,82,44,32,6,94,0.573,225,238,5,5,-0.22,-0.06,5.65,165,179,49,290,16.9,50,318,84.28,5,4,13.6,13,2436,9,2340,0.9,98
2009-2010,Boston Bruins,28.1,82,39,30,13,91,0.555,206,200,10,9,0.01,-0.06,4.95,146,150,44,265,16.6,37,272,86.4,6,3,11.3,11.4,2599,7.5,2444,0.922,99.4
2009-2010,Calgary Flames,28.8,82,40,32,10,90,0.549,204,210,3,7,-0.03,0.04,5.05,150,147,43,268,16.04,54,305,82.3,7,1,13.8,13,2350,8.6,2372,0.914,99.8
2009-2010,St. Louis Blues,27.9,82,40,32,10,90,0.549,225,223,7,5,0.08,0.06,5.46,159,167,53,308,17.21,45,342,86.84,6,6,15.8,15.7,2445,8.9,2473,0.912,100
2009-2010,Anaheim Ducks,27.9,82,39,32,11,89,0.543,238,251,5,8,-0.07,0.09,5.96,162,166,63,300,21,67,323,79.26,8,9,16.1,15.5,2472,9.4,2736,0.911,100.8
2009-2010,Dallas Stars,28.3,82,37,31,14,88,0.537,237,254,7,10,-0.12,0.09,5.99,160,171,61,328,18.6,65,288,77.43,8,8,11.6,12.3,2523,9.1,2559,0.905,100
2009-2010,Philadelphia Flyers,27.7,82,41,35,6,88,0.537,236,225,4,3,0.08,-0.06,5.62,158,157,68,318,21.38,57,334,82.93,5,7,16.5,15.2,2589,9,2346,0.905,99.5
2009-2010,Montreal Canadiens,27.5,82,39,33,10,88,0.537,217,223,7,5,-0.14,-0.07,5.37,149,157,57,261,21.84,53,311,82.96,3,8,11.2,11,2345,9,2634,0.917,100.4
2009-2010,New York Rangers,26.8,82,38,33,11,87,0.53,222,218,3,4,0,-0.05,5.37,159,158,55,301,18.27,50,318,84.28,5,6,13.9,13,2425,9,2450,0.913,100.3
2009-2010,Minnesota Wild,28.6,82,38,36,8,84,0.512,219,246,5,7,-0.26,0.07,5.67,151,173,59,309,19.09,53,306,82.68,3,13,11.1,10.9,2266,9.4,2415,0.901,99.9
2009-2010,Atlanta Thrashers,27.5,82,35,34,13,83,0.506,234,256,4,6,-0.33,-0.06,5.98,170,189,51,316,16.14,57,320,82.19,9,4,12.7,12.8,2409,9.5,2716,0.908,100.5
2009-2010,Carolina Hurricanes,28.9,82,35,37,10,80,0.488,230,256,4,5,-0.37,-0.05,5.93,163,181,56,329,17.02,62,320,80.63,7,8,11.5,11.5,2402,9.4,2574,0.902,99.6
2009-2010,Tampa Bay Lightning,27,82,34,36,12,80,0.488,217,260,4,7,-0.56,-0.03,5.82,148,180,63,326,19.33,67,336,80.06,2,6,16.5,15.7,2367,9,2575,0.902,99.4
2009-2010,New York Islanders,28.3,82,34,37,11,79,0.482,222,264,8,6,-0.53,-0.02,5.93,158,184,49,306,16.01,71,300,76.33,7,3,11.3,11.9,2493,8.6,2619,0.901,99.2
2009-2010,Columbus Blue Jackets,26.1,82,32,35,15,79,0.482,216,259,2,10,-0.42,0.11,5.79,152,179,56,308,18.18,61,334,81.74,6,8,13,12.5,2338,9.2,2514,0.901,99
2009-2010,Florida Panthers,28.1,82,32,37,13,77,0.47,208,244,6,10,-0.47,-0.03,5.51,151,167,44,309,14.24,59,286,79.37,7,8,11.7,12.6,2331,8.7,2800,0.916,100.8
2009-2010,Toronto Maple Leafs,27,82,30,38,14,74,0.451,214,267,4,4,-0.68,-0.03,5.87,162,183,44,315,13.97,73,288,74.65,4,6,13.1,13.2,2671,7.9,2440,0.892,98.9
2009-2010,Edmonton Oilers,27.1,82,27,47,8,62,0.378,214,284,8,6,-0.76,0.09,6.07,148,206,52,301,17.28,67,305,78.03,6,5,13.6,13.3,2321,8.9,2716,0.898,99.3
