player,season,team_one,team_two,team_three,games_played,toi,war_82,games_missed
RYAN.CALLAHAN,2016-2017,TBL,none,none,18,254.57,-0.73,64
RYAN.CARPENTER,2016-2017,S.J,none,none,10,102,0.33,72
RYAN.DZINGEL,2016-2017,OTT,none,none,96,1347.52,0.34,-14
RYAN.ELLIS,2016-2017,NSH,none,none,93,2216.32,2.46,-11
RYAN.GARBUTT,2016-2017,ANA,none,none,27,247.28,-0.33,55
RYAN.GETZLAF,2016-2017,ANA,none,none,91,1970.08,1.6,-9
RYAN.HARTMAN,2016-2017,CHI,none,none,80,1016.53,1.14,2
RYAN.JOHANSEN,2016-2017,NSH,none,none,96,1835.23,1.48,-14
RYAN.KESLER,2016-2017,ANA,none,none,99,2109.93,2.58,-17
RYAN.MCDONAGH,2016-2017,NYR,none,none,89,2203.6,1.93,-7
RYAN.MURPHY,2016-2017,CAR,none,none,27,355.63,-0.06,55
RYAN.MURRAY,2016-2017,CBJ,none,none,60,1099.98,-0.94,22
RYAN.NUGENT-HOPKINS,2016-2017,EDM,none,none,95,1690.08,-0.36,-13
RYAN.O'REILLY,2016-2017,BUF,none,none,72,1545,2.23,10
RYAN.REAVES,2016-2017,STL,none,none,91,816.12,0.22,-9
RYAN.SPOONER,2016-2017,BOS,none,none,82,1151.65,-0.08,0
RYAN.SPROUL,2016-2017,DET,none,none,27,408.98,-0.76,55
RYAN.STROME,2016-2017,NYI,none,none,69,1007.93,-0.13,13
RYAN.SUTER,2016-2017,MIN,none,none,87,2353.32,2.28,-5
RYAN.WHITE,2016-2017,MIN,none,none,68,713.98,0.02,14
SAM.BENNETT,2016-2017,CGY,none,none,85,1268.63,-1.5,-3
SAM.GAGNER,2016-2017,CBJ,none,none,86,1174.2,0.65,-4
SAMI.VATANEN,2016-2017,ANA,none,none,83,1803.72,-0.87,-1
SAM.REINHART,2016-2017,BUF,none,none,79,1360.15,1.22,3
SCOTT.HARRINGTON,2016-2017,CBJ,none,none,25,323.37,-0.75,57
SCOTT.HARTNELL,2016-2017,CBJ,none,none,82,983.43,0.55,0
SCOTTIE.UPSHALL,2016-2017,STL,none,none,84,929.18,-0.33,-2
SCOTT.MAYFIELD,2016-2017,NYI,none,none,25,353.5,0.13,57
SCOTT.WILSON,2016-2017,PIT,none,none,98,1093.08,1.31,-16
SEAN.COUTURIER,2016-2017,PHI,none,none,66,1217.42,1.71,16
SEAN.KURALY,2016-2017,BOS,none,none,12,123.25,0.14,70
SEAN.MONAHAN,2016-2017,CGY,none,none,86,1515.3,0.47,-4
SEBASTIAN.AHO,2016-2017,CAR,none,none,82,1376.52,0.65,0
SERGEY.KALININ,2016-2017,NJD,none,none,43,550.13,-0.06,39
SETH.GRIFFITH,2016-2017,TOR,FLA,none,24,305.62,-0.68,58
SETH.HELGESON,2016-2017,NJD,none,none,9,121.22,-1.28,73
SETH.JONES,2016-2017,CBJ,none,none,80,1885.57,0.13,2
SHANE.DOAN,2016-2017,ARI,none,none,74,1113.55,-1.35,8
SHANE.HARPER,2016-2017,FLA,none,none,14,144.2,-0.53,68
SHANE.PRINCE,2016-2017,NYI,none,none,50,648.53,0,32
SHAWN.MATTHIAS,2016-2017,WPG,none,none,45,610.2,0.78,37
SHAWN.THORNTON,2016-2017,FLA,none,none,50,384.48,-0.66,32
SHAYNE.GOSTISBEHERE,2016-2017,PHI,none,none,76,1488.12,0.69,6
SHEA.THEODORE,2016-2017,ANA,none,none,48,832.58,-0.1,34
SHEA.WEBER,2016-2017,MTL,none,none,84,2122.65,1.47,-2
SIDNEY.CROSBY,2016-2017,PIT,none,none,99,1956.22,6.26,-17
SLATER.KOEKKOEK,2016-2017,TBL,none,none,29,376.53,-0.31,53
SPENCER.ABBOTT,2016-2017,CHI,none,none,1,8.57,1.64,81
STEFAN.NOESEN,2016-2017,NJD,none,none,44,489.52,0.35,38
STEPHEN.GIONTA,2016-2017,NYI,none,none,26,291.38,0.82,56
STEPHEN.JOHNS,2016-2017,DAL,none,none,61,1113.58,0.26,21
STEVEN.KAMPFER,2016-2017,NYR,none,none,11,145.83,0.3,71
STEVEN.SANTINI,2016-2017,NJD,none,none,38,611.17,0.56,44
STEVEN.STAMKOS,2016-2017,TBL,none,none,17,303.9,1.54,65
STEVE.OLEKSY,2016-2017,PIT,none,none,11,150.67,1.12,71
STEVE.OTT,2016-2017,MTL,none,none,59,644.72,-0.5,23
SVEN.ANDRIGHETTO,2016-2017,MTL,COL,none,46,642.5,-0.07,36
SVEN.BAERTSCHI,2016-2017,VAN,none,none,68,1079.55,1.58,14
TANNER.GLASS,2016-2017,NYR,none,none,18,189.13,0.55,64
TANNER.KERO,2016-2017,CHI,none,none,51,688.38,0.37,31
TANNER.PEARSON,2016-2017,LAK,none,none,80,1305.6,2.5,2
TANNER.RICHARD,2016-2017,TBL,none,none,3,38.12,1.09,79
TAYLOR.CHORNEY,2016-2017,WSH,none,none,18,256.75,-0.73,64
TAYLOR.FEDUN,2016-2017,BUF,none,none,27,360.82,0.03,55
TAYLOR.HALL,2016-2017,NJD,none,none,72,1391.83,2.32,10
TAYLOR.LEIER,2016-2017,PHI,none,none,10,90.6,-1.15,72
TEDDY.PURCELL,2016-2017,LAK,none,none,12,154.7,-1.91,70
TEEMU.PULKKINEN,2016-2017,MIN,none,none,13,123.52,-0.63,69
TEUVO.TERAVAINEN,2016-2017,CAR,none,none,81,1315.38,0.94,1
THOMAS.HICKEY,2016-2017,NYI,none,none,76,1331.42,-0.43,6
THOMAS.VANEK,2016-2017,DET,FLA,none,68,979.48,-0.19,14
TIMO.MEIER,2016-2017,S.J,none,none,39,484.4,-0.48,43
TIM.SCHALLER,2016-2017,BOS,none,none,65,804.82,0.01,17
TJ.BRODIE,2016-2017,CGY,none,none,86,2022.97,2,-4
T.J..OSHIE,2016-2017,WSH,none,none,81,1485.72,4.6,1
TOBIAS.ENSTROM,2016-2017,WPG,none,none,60,1314.27,-0.49,22
TOBIAS.RIEDER,2016-2017,ARI,none,none,80,1385.05,0.97,2
TOMAS.HERTL,2016-2017,S.J,none,none,55,959.73,-0.12,27
TOMAS.JURCO,2016-2017,DET,CHI,none,29,308.4,-0.17,53
TOMAS.NOSEK,2016-2017,DET,none,none,11,111.37,0.45,71
TOMAS.PLEKANEC,2016-2017,MTL,none,none,84,1423.02,-0.04,-2
TOMAS.TATAR,2016-2017,DET,none,none,82,1416.73,1.43,0
TOM.GILBERT,2016-2017,LAK,none,none,18,278.22,-0.14,64
TOM.KUHNHACKL,2016-2017,PIT,none,none,68,734.73,0.27,14
TOMMY.WINGELS,2016-2017,OTT,none,none,81,843.82,0.3,1
TOM.PYATT,2016-2017,OTT,none,none,96,1467,0.28,-14
TOM.SESTITO,2016-2017,PIT,none,none,13,71.92,-1.77,69
TOM.WILSON,2016-2017,WSH,none,none,95,1240.03,1.13,-13
TOREY.KRUG,2016-2017,BOS,none,none,81,1748.43,1.09,1
TORREY.MITCHELL,2016-2017,MTL,none,none,81,1017.83,0.63,1
TRAVIS.HAMONIC,2016-2017,NYI,none,none,49,1002.32,-1.37,33
TRAVIS.KONECNY,2016-2017,PHI,none,none,70,986.33,0.3,12
TRAVIS.ZAJAC,2016-2017,NJD,none,none,80,1578.03,0.51,2
TREVOR.DALEY,2016-2017,PIT,none,none,77,1542.58,-0.78,5
TREVOR.LEWIS,2016-2017,LAK,none,none,82,1170.4,0.98,0
TREVOR.VAN RIEMSDYK,2016-2017,CHI,none,none,62,1143.85,0.12,20
TROY.BROUWER,2016-2017,CGY,none,none,78,1256.73,-1.07,4
TROY.STECHER,2016-2017,VAN,none,none,71,1418.5,-0.39,11
TYLER.BOZAK,2016-2017,TOR,none,none,84,1394.03,0.68,-2
TYLER.ENNIS,2016-2017,BUF,none,none,51,654.63,0.02,31
TYLER.GRAOVAC,2016-2017,MIN,none,none,52,511.72,-0.11,30
TYLER.JOHNSON,2016-2017,TBL,none,none,66,1242.23,1.14,16
TYLER.MOTTE,2016-2017,CHI,none,none,33,375.77,-0.82,49
TYLER.MYERS,2016-2017,WPG,none,none,11,244.28,-0.67,71
TYLER.PITLICK,2016-2017,EDM,none,none,31,307.65,2.57,51
TYLER.SEGUIN,2016-2017,DAL,none,none,82,1513.77,-0.12,0
TYLER.TOFFOLI,2016-2017,LAK,none,none,63,1044.9,0.74,19
TY.RATTIE,2016-2017,CAR,none,none,9,96.65,0,73
TYSON.BARRIE,2016-2017,COL,none,none,74,1724.77,-0.23,8
TYSON.JOST,2016-2017,COL,none,none,6,94.05,-2.73,76
VALTTERI.FILPPULA,2016-2017,TBL,PHI,none,79,1375.08,0.07,3
VERNON.FIDDLER,2016-2017,NSH,none,none,68,759.78,0.16,14
VICTOR.HEDMAN,2016-2017,TBL,none,none,79,1936.25,0.03,3
VICTOR.RASK,2016-2017,CAR,none,none,82,1418.13,0.37,0
VIKTOR.ARVIDSSON,2016-2017,NSH,none,none,102,1782.85,1.29,-20
VIKTOR.STALBERG,2016-2017,OTT,none,none,92,1148.55,0.94,-10
VINCENT.TROCHECK,2016-2017,FLA,none,none,82,1708.48,1.89,0
VINNIE.HINOSTROZA,2016-2017,CHI,none,none,50,593.73,-0.16,32
VLADIMIR.SOBOTKA,2016-2017,STL,none,none,12,208.58,-0.82,70
VLADIMIR.TARASENKO,2016-2017,STL,none,none,93,1743.57,4.36,-11
VLADISLAV.NAMESTNIKOV,2016-2017,TBL,none,none,74,1094.08,0.48,8
WADE.MEGAN,2016-2017,STL,none,none,3,26.4,-0.27,79
WAYNE.SIMMONDS,2016-2017,PHI,none,none,82,1553.85,0.62,0
WILLIAM.CARRIER,2016-2017,BUF,none,none,41,369.03,0.48,41
WILLIAM.KARLSSON,2016-2017,CBJ,none,none,86,1164.85,-0.1,-4
WILLIAM.NYLANDER,2016-2017,TOR,none,none,87,1409.07,1.8,-5
XAVIER.OUELLET,2016-2017,DET,none,none,66,1186.22,0.12,16
YANNICK.WEBER,2016-2017,NSH,none,none,95,1115.62,-0.25,-13
YANNI.GOURDE,2016-2017,TBL,none,none,20,307.35,2.91,62
YOHANN.AUVITU,2016-2017,NJD,none,none,25,390.08,-0.89,57
ZAC.DALPE,2016-2017,MIN,none,none,9,77,-0.27,73
ZACHARY.SANFORD,2016-2017,WSH,none,none,20,201.65,-1.72,62
ZACH.BOGOSIAN,2016-2017,BUF,none,none,56,1124.88,-0.18,26
ZACH.HYMAN,2016-2017,TOR,none,none,88,1480.03,0.48,-6
ZACH.PARISE,2016-2017,MIN,none,none,74,1299.92,-0.13,8
ZACH.REDMOND,2016-2017,MTL,none,none,16,196.97,3.38,66
ZACH.SANFORD,2016-2017,STL,none,none,23,264.85,0.5,59
ZACH.WERENSKI,2016-2017,CBJ,none,none,81,1701.53,-0.79,1
ZACK.KASSIAN,2016-2017,EDM,none,none,92,1147.32,-0.07,-10
ZACK.MITCHELL,2016-2017,MIN,none,none,11,92.68,0.45,71
ZACK.SMITH,2016-2017,OTT,none,none,93,1519.45,0.14,-11
ZDENO.CHARA,2016-2017,BOS,none,none,81,1922.33,0.33,1
ZEMGUS.GIRGENSONS,2016-2017,BUF,none,none,75,986.97,0.16,7
AARON.DELL,2016-2017,S.J,none,none,20,1110.55,7.5,62
ALEX.NEDELJKOVIC,2016-2017,CAR,none,none,1,29.83,16.4,81
ALEX.STALOCK,2016-2017,MIN,none,none,2,118.92,8.61,80
AL.MONTOYA,2016-2017,MTL,none,none,19,1124.88,1.77,63
ANDERS.NILSSON,2016-2017,BUF,none,none,26,1484.25,5.9,56
ANDREI.VASILEVSKIY,2016-2017,TBL,none,none,50,2831.12,-1.21,32
ANDREW.HAMMOND,2016-2017,OTT,none,none,6,189.38,-9.7,76
ANTHONY.STOLARZ,2016-2017,PHI,none,none,7,376.08,2.69,75
ANTOINE.BIBEAU,2016-2017,TOR,none,none,2,120.65,2.05,80
ANTON.FORSBERG,2016-2017,CBJ,none,none,1,58.58,-28.7,81
ANTON.KHUDOBIN,2016-2017,BOS,none,none,16,864.78,-1.79,66
ANTTI.NIEMI,2016-2017,DAL,none,none,37,1728.5,-2.88,45
ANTTI.RAANTA,2016-2017,NYR,none,none,30,1617.33,4.7,52
BEN.BISHOP,2016-2017,TBL,LAK,none,39,2222.62,-0.48,43
BRADEN.HOLTBY,2016-2017,WSH,none,none,76,4483.62,5.3,6
BRIAN.ELLIOTT,2016-2017,CGY,none,none,53,3009.75,0,29
CALVIN.PICKARD,2016-2017,COL,none,none,50,2800.22,-5.69,32
CAM.TALBOT,2016-2017,EDM,none,none,86,5070.13,5.3,-4
CAM.WARD,2016-2017,CAR,none,none,61,3617.87,-0.86,21
CAREY.PRICE,2016-2017,MTL,none,none,68,4095.57,3.12,14
CARTER.HUTTON,2016-2017,STL,none,none,30,1459.05,1.34,52
CHAD.JOHNSON,2016-2017,CGY,none,none,37,2065.03,1.66,45
CHARLIE.LINDGREN,2016-2017,MTL,none,none,2,121.7,4.92,80
CHRIS.DRIEDGER,2016-2017,OTT,none,none,1,40,-28.7,81
CONNOR.HELLEBUYCK,2016-2017,WPG,none,none,55,3013.52,-1.55,27
COREY.CRAWFORD,2016-2017,CHI,none,none,59,3500.65,1.79,23
CORY.SCHNEIDER,2016-2017,NJD,none,none,60,3467.83,-0.05,22
CRAIG.ANDERSON,2016-2017,OTT,none,none,59,3599.37,4.84,23
CURTIS.MCELHINNEY,2016-2017,CBJ,TOR,none,21,1134.58,1.76,61
DARCY.KUEMPER,2016-2017,MIN,none,none,18,1053.03,-5.06,64
DAVID.RITTICH,2016-2017,CGY,none,none,1,20,1.64,81
DEVAN.DUBNYK,2016-2017,MIN,none,none,70,4075.25,1.71,12
DUSTIN.TOKARSKI,2016-2017,ANA,none,none,1,9.78,5.74,81
EDDIE.LACK,2016-2017,CAR,none,none,20,1089.85,1.48,62
ERIC.COMRIE,2016-2017,WPG,none,none,1,59.3,2.46,81
FREDERIK.ANDERSEN,2016-2017,TOR,none,none,72,4202.1,5.27,10
HENRIK.LUNDQVIST,2016-2017,NYR,none,none,69,4015,1.79,13
JACK.CAMPBELL,2016-2017,LAK,none,none,1,20,4.1,81
JACOB.MARKSTROM,2016-2017,VAN,none,none,25,1411.83,1.02,57
JAKE.ALLEN,2016-2017,STL,none,none,72,4093.25,1.64,10
JAMES.REIMER,2016-2017,FLA,none,none,43,2324.57,1.6,39
JARED.COREAU,2016-2017,DET,none,none,14,707.27,-5.39,68
JAROSLAV.HALAK,2016-2017,NYI,none,none,28,1605.48,5.54,54
JEAN-FRANCOIS.BERUBE,2016-2017,NYI,none,none,14,526.82,-10.31,68
