player,season,team_one,team_two,team_three,games_played,toi,war_82,games_missed
5EBASTIAN.AHO,2017-2018,NYI,none,none,22,357.4,-0.66,60
AARON.DELL,2017-2018,S.J,none,none,28,1505.05,1.71,54
AARON.EKBLAD,2017-2018,FLA,none,none,79,1848.73,-0.4,3
AARON.NESS,2017-2018,WSH,none,none,8,101.82,-2.98,74
ADAM.CLENDENING,2017-2018,ARI,none,none,5,79.67,-2.77,77
ADAM.ERNE,2017-2018,TBL,none,none,23,232.73,-0.45,59
ADAM.HENRIQUE,2017-2018,NJD,ANA,none,79,1407.3,0.59,3
ADAM.LARSSON,2017-2018,EDM,none,none,61,1331,-0.21,21
ADAM.LOWRY,2017-2018,WPG,none,none,43,641.88,2.39,39
ADAM.MCQUAID,2017-2018,BOS,none,none,35,555.78,-0.35,47
ADAM.PELECH,2017-2018,NYI,none,none,76,1464.82,-0.21,6
ADIN.HILL,2017-2018,ARI,none,none,4,240.75,1.74,78
ADRIAN.KEMPE,2017-2018,LAK,none,none,79,1054.27,-0.09,3
A.J..GREER,2017-2018,COL,none,none,17,125.68,-0.09,65
ALAN.QUINE,2017-2018,NYI,none,none,21,246.45,-0.26,61
ALEC.MARTINEZ,2017-2018,LAK,none,none,75,1712.6,-1.14,7
ALEKSANDER.BARKOV,2017-2018,FLA,none,none,78,1726.7,1.66,4
ALEXANDAR.GEORGIEV,2017-2018,NYR,none,none,10,514.77,1.95,72
ALEX.BIEGA,2017-2018,VAN,none,none,41,609.63,-0.83,41
ALEX.BURMISTROV,2017-2018,VAN,none,none,23,278.1,-0.88,59
ALEX.BURROWS,2017-2018,OTT,none,none,69,802.27,0.02,13
ALEX.CHIASSON,2017-2018,WSH,none,none,59,702.87,-0.4,23
ALEX.DEBRINCAT,2017-2018,CHI,none,none,80,1184.68,2.42,2
ALEX.EDLER,2017-2018,VAN,none,none,68,1650,-0.33,14
ALEXEI.EMELIN,2017-2018,NSH,none,none,74,1253.25,-1.07,8
ALEX.GALCHENYUK,2017-2018,MTL,none,none,80,1295.32,-0.04,2
ALEX.GOLIGOSKI,2017-2018,ARI,none,none,76,1765.27,0.07,6
ALEX.IAFALLO,2017-2018,LAK,none,none,75,1132.77,0.86,7
ALEX.KERFOOT,2017-2018,COL,none,none,77,1034.62,2.54,5
ALEX.KILLORN,2017-2018,TBL,none,none,80,1319.6,1.55,2
ALEX.LYON,2017-2018,PHI,none,none,11,479.82,1.34,71
ALEX.OVECHKIN,2017-2018,WSH,none,none,80,1608.78,4.94,2
ALEX.PETROVIC,2017-2018,FLA,none,none,65,946.6,-0.14,17
ALEX.PIETRANGELO,2017-2018,STL,none,none,76,1958.58,0.15,6
ALEX.RADULOV,2017-2018,DAL,none,none,80,1606.5,1.33,2
ALEX.STALOCK,2017-2018,MIN,none,none,27,1430.5,1.81,55
ALEX.STEEN,2017-2018,STL,none,none,74,1381.95,0.42,8
ALEX.TUCH,2017-2018,VGK,none,none,76,1153.33,0.93,6
ALEX.WENNBERG,2017-2018,CBJ,none,none,65,1174.9,0.88,17
AL.MONTOYA,2017-2018,MTL,EDM,none,13,691.73,-1.61,69
ANDERS.BJORK,2017-2018,BOS,none,none,30,370.42,-0.46,52
ANDERS.LEE,2017-2018,NYI,none,none,80,1378.62,1.15,2
ANDERS.NILSSON,2017-2018,VAN,none,none,26,1398.72,-3.3,56
ANDREAS.ATHANASIOU,2017-2018,DET,none,none,68,1047.85,0.42,14
ANDREAS.BORGMAN,2017-2018,TOR,none,none,48,657,-0.45,34
ANDREAS.JOHNSSON,2017-2018,TOR,none,none,9,105.3,2.56,73
ANDREAS.MARTINSEN,2017-2018,CHI,none,none,7,86.4,1.26,75
ANDRE.BURAKOVSKY,2017-2018,WSH,none,none,54,745.15,0.06,28
ANDREI.MIRONOV,2017-2018,COL,none,none,10,110.47,-1.09,72
ANDREI.VASILEVSKIY,2017-2018,TBL,none,none,64,3765.73,1.27,18
ANDREJ.SEKERA,2017-2018,EDM,none,none,36,587.82,-0.91,46
ANDREJ.SUSTR,2017-2018,TBL,none,none,43,558.08,-0.25,39
ANDREW.COGLIANO,2017-2018,ANA,none,none,78,1187.42,0.03,4
ANDREW.COPP,2017-2018,WPG,none,none,80,1094.68,0.51,2
ANDREW.HAMMOND,2017-2018,COL,none,none,2,58.78,6.93,80
ANDREW.LADD,2017-2018,NYI,none,none,71,1133.48,1.06,11
ANDREW.MACDONALD,2017-2018,PHI,none,none,64,1270.53,0.13,18
ANDREW.MANGIAPANE,2017-2018,CGY,none,none,10,89.3,-0.31,72
ANDREW.SHAW,2017-2018,MTL,none,none,51,806.28,-0.32,31
ANDY.ANDREOFF,2017-2018,LAK,none,none,44,416.03,-0.23,38
ANDY.GREENE,2017-2018,NJD,none,none,79,1665.85,0.78,3
ANDY.WELINSKI,2017-2018,ANA,none,none,5,81.77,-1.33,77
ANTHONY.BEAUVILLIER,2017-2018,NYI,none,none,69,1002.48,1.17,13
ANTHONY.BITETTO,2017-2018,NSH,none,none,32,430.45,-1,50
ANTHONY.CIRELLI,2017-2018,TBL,none,none,16,208.03,1.05,66
ANTHONY.DUCLAIR,2017-2018,ARI,CHI,none,56,743.78,-0.16,26
ANTHONY.MANTHA,2017-2018,DET,none,none,77,1329,1.13,5
ANTOINE.ROUSSEL,2017-2018,DAL,none,none,71,879.05,0.33,11
ANTOINE.VERMETTE,2017-2018,ANA,none,none,63,869.72,-0.15,19
ANTON.FORSBERG,2017-2018,CHI,none,none,35,1714.78,0.37,47
ANTON.KHUDOBIN,2017-2018,BOS,none,none,30,1720.87,1.76,52
ANTON.LINDHOLM,2017-2018,COL,none,none,48,632.12,0.12,34
ANTON.SLEPYSHEV,2017-2018,EDM,none,none,48,566.97,-0.44,34
ANTON.STRALMAN,2017-2018,TBL,none,none,78,1672.83,0.64,4
ANTTI.NIEMI,2017-2018,PIT,FLA,MTL,23,1153.1,2.63,59
ANTTI.RAANTA,2017-2018,ARI,none,none,46,2521.05,9.32,36
ANZE.KOPITAR,2017-2018,LAK,none,none,80,1763.53,2.76,2
ARTEM.ANISIMOV,2017-2018,CHI,none,none,70,1177.13,-0.21,12
ARTEMI.PANARIN,2017-2018,CBJ,none,none,80,1607.52,0.19,2
ARTTURI.LEHKONEN,2017-2018,MTL,none,none,64,1054.52,1.3,18
ASHTON.SAUTNER,2017-2018,VAN,none,none,5,66.8,-0.27,77
AUSTIN.CZARNIK,2017-2018,BOS,none,none,10,109.12,1.31,72
AUSTIN.WATSON,2017-2018,NSH,none,none,74,911.1,0.3,8
AUSTON.MATTHEWS,2017-2018,TOR,none,none,60,1090.88,5.38,22
BARCLAY.GOODROW,2017-2018,S.J,none,none,47,511.55,0.14,35
BEN.BISHOP,2017-2018,DAL,none,none,53,2886.83,1.67,29
BEN.CHIAROT,2017-2018,WPG,none,none,55,836.08,-0.56,27
BEN.HARPUR,2017-2018,OTT,none,none,40,601.8,-0.8,42
BEN.HUTTON,2017-2018,VAN,none,none,58,1066.37,-1.43,24
BEN.LOVEJOY,2017-2018,NJD,none,none,55,913.87,1.29,27
BENOIT.POULIOT,2017-2018,BUF,none,none,74,1011.83,0.62,8
BLAKE.COLEMAN,2017-2018,NJD,none,none,77,1102.68,1.26,5
BLAKE.COMEAU,2017-2018,COL,none,none,77,1225.05,0.02,5
BLAKE.WHEELER,2017-2018,WPG,none,none,79,1600.62,2.01,3
BOBBY.RYAN,2017-2018,OTT,none,none,60,984.17,-0.03,22
BO.HORVAT,2017-2018,VAN,none,none,61,1180.1,1.98,21
BOONE.JENNER,2017-2018,CBJ,none,none,73,1199.27,1.37,9
BOO.NIEVES,2017-2018,NYR,none,none,28,285.57,0.21,54
BRADEN.HOLTBY,2017-2018,WSH,none,none,53,3007.8,1.95,29
BRAD.HUNT,2017-2018,VGK,none,none,44,726.38,-0.13,38
BRAD.MARCHAND,2017-2018,BOS,none,none,65,1280.55,3.99,17
BRAD.RICHARDSON,2017-2018,ARI,none,none,74,1091.58,-0.38,8
BRADY.SKJEI,2017-2018,NYR,none,none,80,1681.43,-0.09,2
BRANDON.CARLO,2017-2018,BOS,none,none,76,1462.03,-0.81,6
BRANDON.DAVIDSON,2017-2018,MTL,EDM,NYI,49,815.05,0.11,33
BRANDON.DUBINSKY,2017-2018,CBJ,none,none,60,926.28,0.09,22
BRANDON.HALVERSON,2017-2018,NYR,none,none,1,12.55,0.31,81
BRANDON.MANNING,2017-2018,PHI,none,none,63,1130.45,-0.28,19
BRANDON.MONTOUR,2017-2018,ANA,none,none,78,1590.1,0.25,4
BRANDON.SAAD,2017-2018,CHI,none,none,80,1401.38,0.27,2
BRANDON.SUTTER,2017-2018,VAN,none,none,58,1009.1,0.61,24
BRANDON.TANEV,2017-2018,WPG,none,none,60,759.03,0.41,22
BRAYDEN.MCNABB,2017-2018,VGK,none,none,74,1486.08,-0.24,8
BRAYDEN.POINT,2017-2018,TBL,none,none,80,1572.73,2.84,2
BRAYDEN.SCHENN,2017-2018,STL,none,none,80,1577.15,0.78,2
BRAYDON.COBURN,2017-2018,TBL,none,none,70,1131.43,-0.65,12
BRENDAN.GALLAGHER,2017-2018,MTL,none,none,80,1285.47,3.44,2
BRENDAN.GAUNCE,2017-2018,VAN,none,none,36,482.53,0.37,46
BRENDAN.GUHLE,2017-2018,BUF,none,none,16,286.67,-0.7,66
BRENDAN.LEIPSIC,2017-2018,VGK,VAN,none,56,732.52,-0.12,26
BRENDAN.PERLINI,2017-2018,ARI,none,none,72,1047.33,-0.55,10
BRENDAN.SMITH,2017-2018,NYR,none,none,44,756,-1.19,38
BRENDEN.DILLON,2017-2018,S.J,none,none,79,1371.55,-0.86,3
BRENT.BURNS,2017-2018,S.J,none,none,80,2016.9,-0.37,2
BRENT.SEABROOK,2017-2018,CHI,none,none,79,1598.57,-0.44,3
BRETT.CONNOLLY,2017-2018,WSH,none,none,68,809.75,1.26,14
BRETT.KULAK,2017-2018,CGY,none,none,69,888.63,0.2,13
BRETT.LERNOUT,2017-2018,MTL,none,none,16,265.55,-2.39,66
BRETT.PESCE,2017-2018,CAR,none,none,65,1358.77,0.72,17
BRETT.RITCHIE,2017-2018,DAL,none,none,69,745.32,1.36,13
BRIAN.BOYLE,2017-2018,NJD,none,none,67,891.67,-0.1,15
BRIAN.DUMOULIN,2017-2018,PIT,none,none,78,1607.25,1.16,4
BRIAN.ELLIOTT,2017-2018,PHI,none,none,41,2382.55,0.68,41
BRIAN.GIBBONS,2017-2018,NJD,none,none,57,820.2,1.07,25
BRIAN.GIONTA,2017-2018,BOS,none,none,17,233.62,0.36,65
BROCK.BOESER,2017-2018,VAN,none,none,61,1066.3,4.8,21
BROCK.MCGINN,2017-2018,CAR,none,none,79,1145.52,1.03,3
BROCK.NELSON,2017-2018,NYI,none,none,80,1174.02,-0.09,2
BROOKS.LAICH,2017-2018,LAK,none,none,12,134.32,-1.84,70
BROOKS.ORPIK,2017-2018,WSH,none,none,79,1538.13,-1.68,3
BRYAN.LITTLE,2017-2018,WPG,none,none,80,1362.02,1.05,2
BRYAN.RUST,2017-2018,PIT,none,none,67,1072.65,1.61,15
BYRON.FROESE,2017-2018,MTL,none,none,47,544.08,0.24,35
CAL.CLUTTERBUCK,2017-2018,NYI,none,none,74,942.97,-0.08,8
CALLE.JARNKROK,2017-2018,NSH,none,none,68,1080.2,1.11,14
CALVIN.DE HAAN,2017-2018,NYI,none,none,33,618.7,1.41,49
CALVIN.PICKARD,2017-2018,TOR,none,none,1,62.58,-12.4,81
CAM.ATKINSON,2017-2018,CBJ,none,none,64,1204.73,2,18
CAM.FOWLER,2017-2018,ANA,none,none,67,1663,0,15
CAM.TALBOT,2017-2018,EDM,none,none,65,3580.67,1.82,17
CAM.WARD,2017-2018,CAR,none,none,42,2393.53,-1.16,40
CAREY.PRICE,2017-2018,MTL,none,none,48,2775.85,-4.67,34
CARL.DAHLSTROM,2017-2018,CHI,none,none,11,192.65,-0.42,71
CARL.GUNNARSSON,2017-2018,STL,none,none,63,1018.45,0.57,19
CARL.HAGELIN,2017-2018,PIT,none,none,79,1264.07,0.97,3
CARL.SODERBERG,2017-2018,COL,none,none,75,1304.88,-0.13,7
CARTER.HUTTON,2017-2018,STL,none,none,31,1549.53,8.36,51
CARTER.ROWNEY,2017-2018,PIT,none,none,44,411.25,-0.31,38
CASEY.CIZIKAS,2017-2018,NYI,none,none,64,844.92,0.1,18
CASEY.DESMITH,2017-2018,PIT,none,none,13,640.15,2.77,69
CASEY.NELSON,2017-2018,BUF,none,none,35,656.82,-0.67,47
CEDRIC.PAQUETTE,2017-2018,TBL,none,none,54,545.93,0.15,28
CHAD.JOHNSON,2017-2018,BUF,none,none,34,1691.77,-4.87,48
CHAD.RUHWEDEL,2017-2018,PIT,none,none,42,667.03,0.25,40
CHANDLER.STEPHENSON,2017-2018,WSH,none,none,65,774.55,0.22,17
CHARLES.HUDON,2017-2018,MTL,none,none,71,997.9,0.67,11
CHARLIE.COYLE,2017-2018,MIN,none,none,64,1060.45,-0.09,18
CHARLIE.LINDGREN,2017-2018,MTL,none,none,14,832.97,2.06,68
CHARLIE.MCAVOY,2017-2018,BOS,none,none,60,1325.87,1.47,22
CHASE.BALISY,2017-2018,FLA,none,none,8,78.53,0.17,74
CHRIS.BIGRAS,2017-2018,COL,none,none,15,207.9,-0.89,67
CHRIS.DIDOMENICO,2017-2018,OTT,none,none,24,282.87,2.06,58
CHRIS.GIBSON,2017-2018,NYI,none,none,8,426.87,1.57,74
CHRIS.KELLY,2017-2018,ANA,none,none,12,91.93,-0.56,70
CHRIS.KREIDER,2017-2018,NYR,none,none,56,876.15,1.29,26
CHRIS.KUNITZ,2017-2018,TBL,none,none,80,956.8,1.13,2
CHRIS.STEWART,2017-2018,MIN,CGY,none,54,580.08,-1.18,28
CHRIS.TANEV,2017-2018,VAN,none,none,41,811.45,0.37,41
CHRIS.THORBURN,2017-2018,STL,none,none,48,336.72,0.37,34
CHRISTIAN.DJOOS,2017-2018,WSH,none,none,62,872.32,1.29,20
CHRISTIAN.DVORAK,2017-2018,ARI,none,none,78,1280.75,-0.26,4
CHRISTIAN.FISCHER,2017-2018,ARI,none,none,77,1073.9,1.07,5
CHRISTIAN.FOLIN,2017-2018,LAK,none,none,63,983.68,0.02,19
CHRISTIAN.WOLANIN,2017-2018,OTT,none,none,8,115.83,0.4,74
CHRIS.TIERNEY,2017-2018,S.J,none,none,80,1281.4,0.37,2
CHRIS.WAGNER,2017-2018,ANA,NYI,none,77,1020.9,-0.59,5
CHRIS.WIDEMAN,2017-2018,OTT,none,none,16,184.9,0.71,66
CLAUDE.GIROUX,2017-2018,PHI,none,none,80,1637,3.86,2
CLAYTON.KELLER,2017-2018,ARI,none,none,80,1436.35,0.24,2
CODY.CECI,2017-2018,OTT,none,none,80,1858.55,-0.92,2
CODY.EAKIN,2017-2018,VGK,none,none,79,1140.97,-0.22,3
CODY.FRANSON,2017-2018,CHI,none,none,23,382.17,2.53,59
CODY.MCLEOD,2017-2018,NSH,NYR,none,48,354.4,-0.93,34
COLIN.MILLER,2017-2018,VGK,none,none,80,1544.35,0.72,2
COLIN.WHITE,2017-2018,OTT,none,none,19,256.72,-0.62,63
COLIN.WILSON,2017-2018,COL,none,none,54,719.28,1.05,28
COLLIN.DELIA,2017-2018,CHI,none,none,2,105.98,-14.93,80
COLTON.PARAYKO,2017-2018,STL,none,none,80,1814.62,0.66,2
COLTON.SCEVIOUR,2017-2018,FLA,none,none,73,965.23,-0.22,9
COLTON.SISSONS,2017-2018,NSH,none,none,79,1270.33,0.33,3
CONNOR.BRICKLEY,2017-2018,FLA,none,none,43,514.65,0.25,39
CONNOR.BROWN,2017-2018,TOR,none,none,80,1201.38,-0.19,2
CONNOR.CARRICK,2017-2018,TOR,none,none,46,699.15,-0.2,36
CONNOR.HELLEBUYCK,2017-2018,WPG,none,none,65,3841.02,6.3,17
CONNOR.MCDAVID,2017-2018,EDM,none,none,80,1721.48,7.34,2
CONNOR.MURPHY,2017-2018,CHI,none,none,74,1210.43,0.08,8
CONOR.SHEARY,2017-2018,PIT,none,none,77,1079.88,1.09,5
COREY.CRAWFORD,2017-2018,CHI,none,none,28,1583.5,8.54,54
COREY.PERRY,2017-2018,ANA,none,none,69,1223.87,-0.05,13
CORY.CONACHER,2017-2018,TBL,none,none,35,347.18,1.75,47
CORY.SCHNEIDER,2017-2018,NJD,none,none,39,2231.97,1.87,43
CRAIG.ANDERSON,2017-2018,OTT,none,none,57,3170.53,-1.95,25
CRAIG.SMITH,2017-2018,NSH,none,none,77,1182.52,1.39,5
CURTIS.LAZAR,2017-2018,CGY,none,none,63,618.47,-0.54,19
CURTIS.MCELHINNEY,2017-2018,TOR,none,none,18,959.12,7.43,64
DALE.WEISE,2017-2018,PHI,none,none,46,486.33,0.05,36
DAMON.SEVERSON,2017-2018,NJD,none,none,75,1473.83,-0.77,7
DAN.GIRARDI,2017-2018,TBL,none,none,75,1301.3,0.08,7
DAN.HAMHUIS,2017-2018,DAL,none,none,78,1581.15,0.04,4
DANIEL.CARR,2017-2018,MTL,none,none,36,436.3,0.08,46
DANIEL.O'REGAN,2017-2018,S.J,none,none,19,189.55,-0.64,63
DANIEL.SEDIN,2017-2018,VAN,none,none,78,1179.73,0.48,4
DANIEL.SPRONG,2017-2018,PIT,none,none,8,111.83,4.71,74
DANIEL.WINNIK,2017-2018,MIN,none,none,79,1072.17,-0.96,3
DANNY.DEKEYSER,2017-2018,DET,none,none,63,1276.58,-0.39,19
DANTON.HEINEN,2017-2018,BOS,none,none,74,1120.23,1.63,8
DARCY.KUEMPER,2017-2018,LAK,ARI,none,28,1533.33,5.37,54
DARNELL.NURSE,2017-2018,EDM,none,none,80,1773.97,-0.14,2
DARREN.ARCHIBALD,2017-2018,VAN,none,none,25,376.33,-1.13,57
DARREN.HELM,2017-2018,DET,none,none,72,1119.57,0.26,10
DAVID.BACKES,2017-2018,BOS,none,none,54,829.83,-0.01,28
DAVID.BOOTH,2017-2018,DET,none,none,26,172.35,0.2,56
DAVID.DESHARNAIS,2017-2018,NYR,none,none,71,927.03,-0.86,11
DAVID.KAMPF,2017-2018,CHI,none,none,44,558.98,0.47,38
DAVID.KREJCI,2017-2018,BOS,none,none,61,1030.48,0.56,21
DAVID.PASTRNAK,2017-2018,BOS,none,none,79,1416.27,2.62,3
DAVID.PERRON,2017-2018,VGK,none,none,70,1240.55,-0.02,12
DAVID.RITTICH,2017-2018,CGY,none,none,21,1008.23,1.53,61
DAVID.SAVARD,2017-2018,CBJ,none,none,79,1526.6,-0.31,3
DAVID.SCHLEMKO,2017-2018,MTL,none,none,36,649.3,0.02,46
DAVID.WARSOFSKY,2017-2018,COL,none,none,15,201.83,0.23,67
DEAN.KUKAN,2017-2018,CBJ,none,none,10,119.48,2.24,72
DENIS.MALGIN,2017-2018,FLA,none,none,50,696.23,1.76,32
DENNIS.RASMUSSEN,2017-2018,ANA,none,none,27,240.52,-1.71,55
DENNIS.SEIDENBERG,2017-2018,NYI,none,none,26,461.58,-2.86,56
DEREK.DORSETT,2017-2018,VAN,none,none,19,290.82,2.6,63
DEREK.FORBORT,2017-2018,LAK,none,none,78,1621.47,-0.26,4
DEREK.GRANT,2017-2018,ANA,none,none,64,712.12,0.19,18
DEREK.MACKENZIE,2017-2018,FLA,none,none,74,835.95,-0.13,8
DEREK.RYAN,2017-2018,CAR,none,none,78,1217.97,1.05,4
DEREK.STEPAN,2017-2018,ARI,none,none,80,1536.5,0.47,2
DERICK.BRASSARD,2017-2018,OTT,PIT,none,72,1276.73,0.8,10
DERRICK.POULIOT,2017-2018,VAN,none,none,68,1212.5,-0.6,14
DERYK.ENGELLAND,2017-2018,VGK,none,none,77,1559.5,-0.46,5
DEVAN.DUBNYK,2017-2018,MIN,none,none,59,3390.28,1.57,23
DEVANTE.SMITH-PELLY,2017-2018,WSH,none,none,73,896.5,-0.48,9
DEVIN.SHORE,2017-2018,DAL,none,none,80,1240.88,-0.3,2
DION.PHANEUF,2017-2018,OTT,LAK,none,77,1534.95,-0.74,5
DMITRIJ.JASKIN,2017-2018,STL,none,none,74,915.1,1.04,8
DMITRY.KULIKOV,2017-2018,WPG,none,none,62,1058.47,0.3,20
DMITRY.ORLOV,2017-2018,WSH,none,none,80,1851.88,0.72,2
DOMINIC.MOORE,2017-2018,TOR,none,none,50,514.87,0.14,32
DOMINIC.TONINATO,2017-2018,COL,none,none,37,292.22,0.7,45
DOMINIK.SIMON,2017-2018,PIT,none,none,33,376.93,-0.44,49
DOUGIE.HAMILTON,2017-2018,CGY,none,none,80,1727.23,0.98,2
DRAKE.CAGGIULA,2017-2018,EDM,none,none,65,876.53,-0.54,17
DREW.DOUGHTY,2017-2018,LAK,none,none,80,2145.37,1.19,2
DREW.STAFFORD,2017-2018,NJD,none,none,58,804.87,0.08,24
DRYDEN.HUNT,2017-2018,FLA,none,none,11,116.18,0.21,71
DUNCAN.KEITH,2017-2018,CHI,none,none,80,1915.62,-2.65,2
DUNCAN.SIEMENS,2017-2018,COL,none,none,16,197.1,0.7,66
DUSTIN.BROWN,2017-2018,LAK,none,none,79,1559.68,1.32,3
DUSTIN.BYFUGLIEN,2017-2018,WPG,none,none,67,1631.92,-0.54,15
DYLAN.DEMELO,2017-2018,S.J,none,none,61,867.53,-0.46,21
DYLAN.FERGUSON,2017-2018,VGK,none,none,1,9.23,-9.25,81
DYLAN.LARKIN,2017-2018,DET,none,none,79,1569.75,-0.04,3
DYLAN.STROME,2017-2018,ARI,none,none,19,242.52,0.6,63
EDDIE.LACK,2017-2018,CGY,NJD,none,8,343.62,-9.6,74
ELIAS.LINDHOLM,2017-2018,CAR,none,none,79,1411.67,0.86,3
ERIC.COMRIE,2017-2018,WPG,none,none,3,180.25,-19.61,79
ERIC.FEHR,2017-2018,TOR,S.J,none,18,212.07,0.04,64
ERIC.GRYBA,2017-2018,EDM,none,none,21,310.3,-0.07,61
ERIC.STAAL,2017-2018,MIN,none,none,80,1427.7,4.24,2
ERIK.GUDBRANSON,2017-2018,VAN,none,none,51,938.9,-0.12,31
ERIK.GUSTAFSSON,2017-2018,CHI,none,none,33,610.42,1.41,49
ERIK.HAULA,2017-2018,VGK,none,none,74,1283.82,2.42,8
ERIK.JOHNSON,2017-2018,COL,none,none,62,1574.85,0.07,20
ERIK.KARLSSON,2017-2018,OTT,none,none,71,1898.57,0.97,11
ESA.LINDELL,2017-2018,DAL,none,none,78,1723.55,-0.23,4
ETHAN.BEAR,2017-2018,EDM,none,none,16,294.6,-2.82,66
EVANDER.KANE,2017-2018,BUF,S.J,none,77,1503.57,0.56,5
EVAN.RODRIGUES,2017-2018,BUF,none,none,46,639.05,0.26,36
EVGENI.MALKIN,2017-2018,PIT,none,none,76,1437.97,3.34,6
EVGENY.DADONOV,2017-2018,FLA,none,none,71,1332.85,2.88,11
EVGENY.KUZNETSOV,2017-2018,WSH,none,none,77,1446.65,0.96,5
EVGENY.SVECHNIKOV,2017-2018,DET,none,none,14,123.48,-0.19,68
FILIP.CHLAPIK,2017-2018,OTT,none,none,18,177.12,-1.19,64
FILIP.CHYTIL,2017-2018,NYR,none,none,7,88.42,-1.96,75
FILIP.FORSBERG,2017-2018,NSH,none,none,65,1135.15,1.23,17
FRANCOIS.BEAUCHEMIN,2017-2018,ANA,none,none,65,1123.92,-0.63,17
FRANK.VATRANO,2017-2018,BOS,FLA,none,38,403.23,-0.66,44
FRANS.NIELSEN,2017-2018,DET,none,none,76,1206.63,0.53,6
FREDDIE.HAMILTON,2017-2018,CGY,ARI,none,16,143.68,-0.7,66
FREDERICK.GAUDREAU,2017-2018,NSH,none,none,20,183.22,-0.52,62
FREDERIK.ANDERSEN,2017-2018,TOR,none,none,64,3771.13,3.68,18
FREDERIK.GAUTHIER,2017-2018,TOR,none,none,9,78.68,-2.75,73
FREDRIK.CLAESSON,2017-2018,OTT,none,none,62,940.42,0.4,20
GABRIEL.BOURQUE,2017-2018,COL,none,none,56,616.17,-1.55,26
GABRIEL.CARLSSON,2017-2018,CBJ,none,none,14,158.62,0.81,68
GABRIEL.DUMONT,2017-2018,TBL,OTT,none,30,271.28,-0.18,52
GABRIEL.LANDESKOG,2017-2018,COL,none,none,76,1526.98,0.37,6
GARNET.HATHAWAY,2017-2018,CGY,none,none,57,657.77,-0.07,25
GEMEL.SMITH,2017-2018,DAL,none,none,44,413.2,0.67,38
GREG.MCKEGG,2017-2018,PIT,none,none,26,251.67,-0.49,56
GREG.PATERYN,2017-2018,DAL,none,none,71,1391.55,1,11
GUSTAV.FORSLING,2017-2018,CHI,none,none,41,785.4,-0.27,41
GUSTAV.NYQUIST,2017-2018,DET,none,none,79,1412.45,0.59,3
GUSTAV.OLOFSSON,2017-2018,MIN,none,none,41,523.73,1.44,41
HAMPUS.LINDHOLM,2017-2018,ANA,none,none,67,1523.62,0.09,15
HARRI.SATERI,2017-2018,FLA,none,none,9,492.6,1.79,73
HAYDN.FLEURY,2017-2018,CAR,none,none,65,1088.75,-1.53,17
HENRIK.LUNDQVIST,2017-2018,NYR,none,none,62,3442.5,1.94,20
HENRIK.SEDIN,2017-2018,VAN,none,none,79,1217.58,-0.04,3
HENRIK.ZETTERBERG,2017-2018,DET,none,none,79,1544.08,0.52,3
IAN.COLE,2017-2018,PIT,CBJ,none,65,1151.65,-0.07,17
IAN.MCCOSHEN,2017-2018,FLA,none,none,37,561.58,-0.51,45
IIRO.PAKARINEN,2017-2018,EDM,none,none,40,407.73,-0.18,42
IVAN.BARBASHEV,2017-2018,STL,none,none,51,621.4,0.07,31
IVAN.PROVOROV,2017-2018,PHI,none,none,80,1932.92,-0.19,2
JACCOB.SLAVIN,2017-2018,CAR,none,none,80,1802.98,0.75,2
JACK.CAMPBELL,2017-2018,LAK,none,none,5,246.62,1.6,77
JACK.EICHEL,2017-2018,BUF,none,none,65,1306.65,1.39,17
JACK.JOHNSON,2017-2018,CBJ,none,none,75,1470.07,-0.91,7
JACK.ROSLOVIC,2017-2018,WPG,none,none,30,372.75,0.31,52
JACOB.DE LA ROSE,2017-2018,MTL,none,none,53,622.45,-0.35,29
JACOB.JOSEFSON,2017-2018,BUF,none,none,39,443.68,-1.01,43
JACOB.MARKSTROM,2017-2018,VAN,none,none,58,3291.85,1.82,24
JACOB.TROUBA,2017-2018,WPG,none,none,54,1183.3,0.75,28
JADEN.SCHWARTZ,2017-2018,STL,none,none,60,1165.3,2.77,22
JAKE.ALLEN,2017-2018,STL,none,none,58,3261.28,-1.97,24
JAKE.DEBRUSK,2017-2018,BOS,none,none,67,959.1,1.31,15
JAKE.DOTCHIN,2017-2018,TBL,none,none,48,791.27,0.23,34
JAKE.GARDINER,2017-2018,TOR,none,none,80,1804.27,-0.01,2
JAKE.GUENTZEL,2017-2018,PIT,none,none,80,1320.28,-1.02,2
JAKE.MCCABE,2017-2018,BUF,none,none,53,1033.55,-0.05,29
JAKE.MUZZIN,2017-2018,LAK,none,none,74,1602.18,0.22,8
JAKE.VIRTANEN,2017-2018,VAN,none,none,72,855.62,-0.1,10
JAKOB.CHYCHRUN,2017-2018,ARI,none,none,50,1012,-0.14,32
JAKOB.SILFVERBERG,2017-2018,ANA,none,none,75,1346.1,1.55,7
JAKUB.JERABEK,2017-2018,MTL,WSH,none,35,570.83,0.25,47
JAKUB.VORACEK,2017-2018,PHI,none,none,80,1556.63,1.5,2
JAKUB.VRANA,2017-2018,WSH,none,none,72,900.98,0.43,10
JAMES.NEAL,2017-2018,VGK,none,none,69,1180.65,2.39,13
JAMES.REIMER,2017-2018,FLA,none,none,42,2299.58,1.88,40
JAMES.VAN RIEMSDYK,2017-2018,TOR,none,none,79,1174.45,2.58,3
JAMIE.BENN,2017-2018,DAL,none,none,80,1586.5,1.58,2
